,sentimen,tweet
0,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti palsu buatan penguasa ya kan rockygerung
1,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti palsu buatan penguasa ya kan rockygerung
2,negatif,bercakap prabowo indonesia tidak dihargai bangsa asing berita ini jelas imitatif buatan pemerintah bahwasanya kan rockygerung kan rockygerung kan rockygerung bercakap prabowo indonesia tidak dihargai bangsa asing berita ini jelas imitatif buatan pemerintah bah
3,netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy
4,netral,batuan jarang rosario jokowi bakat dari habib luthfi seharga mercy
5,netral,batuan jarang rosario jokowi bakat dari habib luthfi seharga mercy
6,netral,di era jokowi ekonomi indonesia semakin baik
7,netral,atas era jokowi ekonomi indonesia semakin baik
8,netral,ke depan jokowi lagi jokowi larang total beranggar lidah
9,positif,bagi sumatera selatan asian games berdampak pada ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
10,positif,bagi sumatera selatan asian games berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi berkuasa
11,positif,berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi hebat berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi hebat berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi hebat
12,negatif,negara kita ngutang buat bngun infrastruktur udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak
13,negatif,negara kita ngutang buat bngun asas udah dipake masyarakat betulbetul masyarakatnya ngeluh karena keadaan ngutang setiap negara itu pasti ngutang utang berupaya dibayar kalo negara dapet penghasilan penghasilan keadaan itu bahwasanya dari pajak
14,negatif,ngutang budi berupaya dibayar kalo keadaan dapet penghasilan penghasilan keadaan itu bahwasanya dari bergadai bergadai berupaya dibayar kalo keadaan dapet penghasilan penghasilan keadaan itu bahwasanya dari bergada
15,netral,bisikin bapak jokowi cuma mikirin perputaran duit di golongan tertentu esports hanya sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul dikatakan prabowo walau dengan bahas sederhana tapi mrpkan aspek fundamental ekonomi
16,netral,bisikin bapak jokowi cuma mikirin perputaran duit atas golongan pasti esports cuma sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia belum hal asas benar dikatakan prabowo meskipun dengan bahas baru meskipun mrpkan aspek fundamental ekonomi
17,netral,kecil dari sekian besar penentu kemajuan perekonomian indonesia belum barang asas betul dikatakan prabowo meskipun dengan bahas baru meskipun mrpkan aspek asas ekonomi
18,positif,masa tenang masih ngoceh ajattp jokowi harga mati
19,positif,kala tenang baru ngoceh ajattp jokowi harga berakhir
20,positif,harga berakhir
21,positif,kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati
22,positif,kerjasa ekonomi bilateral multilateral america doakan di tps sambil dengarkan suara hati
23,positif,berbarengan dengarkan suara hati uasdifitnah bengis balas atas tps kerjasa ekonomi bilateral multilateral america doakan atas tps berbarengan dengarkan suara hati uasdifitnah bengis balas atas tps berbarengan dengarkan suara hati uasdifitnah bengis
24,netral,iya benar aa kita mantap kan pilihan pemimpin bisa memberi solusi jokowi bukan menyalahkan pemimpin sebelumnya sbyudhoyono dismash sama mas bowo percuma koalisi klau mengantam teman koalisi pulang penting pilih pemimpin rajin ibadah wajib bisa ngaji jumatan
25,netral,iya benar aa america mantap kan pilihan ketua bisa memberi solusi jokowi belum membebankan pemimpin sebelumnya sbyudhoyono dismash kayak emas bowo percuma koalisi klau mengantam teman gabungan balik menonjol ambil ketua cermat ibadah wajib berupaya ngaji jumatan
26,netral,ketua sebelumnya sbyudhoyono dismash kayak emas bowo cuma cuma koalisi klau mengantam membarengi gabungan balik mengantam membarengi gabungan balik menonjol ambil pemimpin rajin agama mesti berupaya ngaji jumatan ketua sebelumnya
27,negatif,prabowosandi sepakat tak ambil gaji karena negara sedang susah
28,negatif,prabowosandi sepakat belum ambil gaji karena keadaan sedang menderita
