,sentimen,tweet
0,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti palsu buatan penguasa ya kan rockygerung
1,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti palsu buatan penguasa ya kan rockygerung
2,netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy
3,netral,batuan jarang rosario jokowi bakat dari habib luthfi seharga mercy
4,netral,di era jokowi ekonomi indonesia semakin baik
5,netral,atas era jokowi ekonomi indonesia semakin baik
6,positif,bagi sumatera selatan asian games berdampak pada ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
7,positif,bagi sumatera selatan asian games berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi berkuasa
8,negatif,negara kita ngutang buat bngun infrastruktur udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak
9,negatif,negara kita ngutang buat bngun asas udah dipake masyarakat betulbetul masyarakatnya ngeluh karena keadaan ngutang setiap negara itu pasti ngutang utang berupaya dibayar kalo negara dapet penghasilan penghasilan keadaan itu bahwasanya dari pajak
10,netral,bisikin bapak jokowi cuma mikirin perputaran duit di golongan tertentu esports hanya sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul dikatakan prabowo walau dengan bahas sederhana tapi mrpkan aspek fundamental ekonomi
11,netral,bisikin bapak jokowi cuma mikirin perputaran duit atas golongan pasti esports cuma sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia belum hal asas benar dikatakan prabowo meskipun dengan bahas baru meskipun mrpkan aspek fundamental ekonomi
12,positif,masa tenang masih ngoceh ajattp jokowi harga mati
13,positif,kala tenang baru ngoceh ajattp jokowi harga berakhir
14,positif,kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati
15,positif,kerjasa ekonomi bilateral multilateral america doakan di tps sambil dengarkan suara hati
16,netral,iya benar aa kita mantap kan pilihan pemimpin bisa memberi solusi jokowi bukan menyalahkan pemimpin sebelumnya sbyudhoyono dismash sama mas bowo percuma koalisi klau mengantam teman koalisi pulang penting pilih pemimpin rajin ibadah wajib bisa ngaji jumatan
17,netral,iya benar aa america mantap kan pilihan ketua bisa memberi solusi jokowi belum membebankan pemimpin sebelumnya sbyudhoyono dismash kayak emas bowo percuma koalisi klau mengantam teman gabungan balik menonjol ambil ketua cermat ibadah wajib berupaya ngaji jumatan
18,negatif,prabowosandi sepakat tak ambil gaji karena negara sedang susah
19,negatif,prabowosandi sepakat belum ambil gaji karena keadaan sedang menderita
20,positif,pilih pemimpin itu sudah jelas banyak pencapaiannya nah ini dia pencapaian ekonomi selama pemerintahan jokowi coblos yuk kerja pasti
21,positif,pilih pemimpin itu sudah jelas banyak pencapaiannya nah ini dia kejayaan ekonomi selama pemerintahan jokowi coblos yuk bekerja pasti
22,positif,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cumacuma bagi masyarakat belum berpenghasilan
23,positif,calon daftarpresidenamerikaserikat jokowi menjelaskan program kartu pra kerja akan memberikan bonus dalam kurun kala tertentu belum berarti memberikan gaji secara cumacuma bagi awam belum berpenghasilan
24,negatif,tidak nginti lu to yunartowijaya si atabdillah toha juga tidak ngacaaa tidak usah ngajarin sandi soal ekonomi dibanding jokowi
25,negatif,tidak nginti lu to yunartowijaya si atabdillah toha juga tidak ngacaaa tidak usah ngajarin sandi bertanya ekonomi dibanding jokowi
26,positif,menurut jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal petani sebagai produsen senang karena hasil kerjanya dihargai secara layak
27,positif,menurut jokowi pemerintah jemah berupaya memelihara dacing agar harga pada kondisi heteroseksual pekebun kayak pabrikan mudah karena hasil kerjanya dihargai secara berdaya
28,netral,terlalu berat nge bahas ekonomi dengan angka cukup bahas mobil lejen aj
29,netral,amat berat nge bahas ekonomi dengan angka cukup bahas bergerak lejen aj
