,sentimen,tweet
0,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti palsu buatan penguasa ya kan rockygerung
1,negatif,bercakap prabowo indonesia tidak dihargai bangsa asing berita ini jelas imitatif buatan pemerintah bahwasanya kan rockygerung kan rockygerung kan rockygerung bercakap prabowo indonesia tidak dihargai bangsa asing berita ini jelas imitatif buatan pemerintah bah
2,netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy
3,netral,batuan jarang rosario jokowi bakat dari habib luthfi seharga mercy
4,netral,di era jokowi ekonomi indonesia semakin baik
5,netral,ke depan jokowi lagi jokowi larang total beranggar lidah
6,positif,bagi sumatera selatan asian games berdampak pada ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
7,positif,berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi hebat berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi hebat berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia maju jokowi hebat
8,negatif,negara kita ngutang buat bngun infrastruktur udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak
9,negatif,ngutang budi berupaya dibayar kalo keadaan dapet penghasilan penghasilan keadaan itu bahwasanya dari bergadai bergadai berupaya dibayar kalo keadaan dapet penghasilan penghasilan keadaan itu bahwasanya dari bergada
10,netral,bisikin bapak jokowi cuma mikirin perputaran duit di golongan tertentu esports hanya sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul dikatakan prabowo walau dengan bahas sederhana tapi mrpkan aspek fundamental ekonomi
11,netral,kecil dari sekian besar penentu kemajuan perekonomian indonesia belum barang asas betul dikatakan prabowo meskipun dengan bahas baru meskipun mrpkan aspek asas ekonomi
12,positif,masa tenang masih ngoceh ajattp jokowi harga mati
13,positif,harga berakhir
14,positif,kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati
15,positif,berbarengan dengarkan suara hati uasdifitnah bengis balas atas tps kerjasa ekonomi bilateral multilateral america doakan atas tps berbarengan dengarkan suara hati uasdifitnah bengis balas atas tps berbarengan dengarkan suara hati uasdifitnah bengis
16,netral,iya benar aa kita mantap kan pilihan pemimpin bisa memberi solusi jokowi bukan menyalahkan pemimpin sebelumnya sbyudhoyono dismash sama mas bowo percuma koalisi klau mengantam teman koalisi pulang penting pilih pemimpin rajin ibadah wajib bisa ngaji jumatan
17,netral,ketua sebelumnya sbyudhoyono dismash kayak emas bowo cuma cuma koalisi klau mengantam membarengi gabungan balik mengantam membarengi gabungan balik menonjol ambil pemimpin rajin agama mesti berupaya ngaji jumatan ketua sebelumnya
18,negatif,prabowosandi sepakat tak ambil gaji karena negara sedang susah
19,negatif,prabowosandi sehati belum ambil gaji karena keadaan cuma susah go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh go aceh
20,positif,pilih pemimpin itu sudah jelas banyak pencapaiannya nah ini dia pencapaian ekonomi selama pemerintahan jokowi coblos yuk kerja pasti
21,positif,baik ambil jelas islamnya pilih baju beruban ambil benda hidup baik ambil jelas islamnya pilih baju beruban ambil benda hidup baik ambil jelas islamnya pilih baju beruban ambil benda hidup baik ambil jelas islamnya pilih baju beruban ambil
22,positif,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cumacuma bagi masyarakat belum berpenghasilan
23,positif,kad pra bekerja akan memberikan bonus dalam abad waktu pasti belum berarti memberikan gaji secara cumacuma bagi awam belum berpenghasilan jokowi kyai maruf kad pra bekerja akan memberikan bonus dalam abad waktu pasti pasti belum berarti memberikan gaji
24,negatif,tidak nginti lu to yunartowijaya si atabdillah toha juga tidak ngacaaa tidak usah ngajarin sandi soal ekonomi dibanding jokowi
25,negatif,yunartowijaya si atabdillah toha agak belum ngacaaa belum usah ngajarin sandi bertanya ekonomi dibanding jokowi ngajarin sandi bertanya ekonomi dibanding jokowi ngajarin sandi bertanya ekonomi dibanding jokowi ngajarin
26,positif,menurut jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal petani sebagai produsen senang karena hasil kerjanya dihargai secara layak
27,positif,jokowi pemerintah jemah berupaya memelihara dacing agar harga atas kondisi heteroseksual pekebun kayak produsen mudah karena aksi kerjanya dihargai secara berdaya jokowi kyai maruf awam berangan angan jokowi larangan jokowi larangan
28,netral,terlalu berat nge bahas ekonomi dengan angka cukup bahas mobil lejen aj
29,netral,amat berat nge bahas ekonomi dengan angka banyak bahas mobil lejen ajen ajen angka banyak bahas mobil lejen ajen ajen ajen angka banyak bahas mobil lejen ajen ajen ajen angka banyak bahas mobil lejen ajen ajen ajen
30,netral,mantulz sekali pakmengisi masa tenang dengan umroh bersama kel tercinta istri anak pada ahirnya memang keluarga lah asset pulang berharga sehat selalu pakdeee
31,netral,mantulz benar pakmengisi kala anteng dengan umroh bersama kel kesayangan bini anak atas ahirnya memang dalam negeri lah asset pulang berharga sehat jemah pakdeeee
32,positif,pentingnya sisi industri kreatif inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos yuk kerja pasti
33,positif,islamnya ambil baju putih pentingnya sisi industri kreatif inovatif atas era industri dunia membuat jokowi alih untuk mengubah badan ekonomi kreatif bekraf berbuah sebuah kementerian coblos yuk bekerja jelas islamnya ambil baju puti
34,positif,dalam pakta integritas antara prabowo sandi ulama terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila nkri itu adalah harga mati tidak ada itu khilafah khilafah hanyalah bualan para makhluk di kolam
35,positif,dalam pakta integritas antara prabowo sandi alim terbabit dalam ijtimak alim pernah sangat jelas bahwa pancasila nkri itu adalah harga berakhir belum ada itu khilafah khilafah hanyalah bualan para benda hidup at
36,netral,saya dengar bapak mbak vidya dari curup dulu beli lipstik purbasari harga ribu tapi sekarang beli lipstik nyx tidak cukup ribu
37,netral,maine dengar bapak mbak vidya dari curup dulu beli gincu purbasari harga ribu meskipun ada beli gincu niks tidak banyak ribu meskipun ada beli gincu niks tidak banyak ribu meskipun ada beli gincu niks tidak ban
38,positif,prabowo sejak jadi tni puluhan tahun tidak dia ambil gajinya serupiah pun sandi sejak jadi wagub juga demikian susah ya cari orang seperti mereka tidak ambil gaji dari hasil mereka kerja untuk negara
39,positif,prabowo sejak begini tni puluhan golongan tidak dia ambil gajinya serupiah bahkan sandi sejak begini wagub agak bahwasanya menderita bahwasanya cari orang kayak mereka belum ambil gaji dari hasil menjadwalkan bekerja untuk keadaan
40,netral,assalamualaikum saya tahu suara itu sangat berharga dalam upaya memenangkan prabowo sandiuno saya harus merelakan suara dikarenakan berada di jakarta namun ktp daerah semoga suara saya tidak disertakan bisa terbalaskan dengan doa semoga allah swt mengabulkan itu amin ya rabb
41,netral,bersetuju suara dikarenakan berada atas batavia namun ktp daerah amat suara itu sangat berharga dalam anju berjaya prabowo sandiuno maine harus bersetuju suara dikarenakan berada atas batavia namun ktp daerah amat suara itu sangat berharga d
42,negatif,jika terpilih prabowosandiaga janji tak ambil gaji kita tahu mereka orangorang superkaya mbok ya rendah hatilah jangan menyatakan kata berkonotasi angkuh
43,negatif,jika memilih prabowosandiaga janji belum ambil gaji america tahu menjadwalkan orangorang superkaya mbok bahwasanya rendah hatilah jangan keadaan bercakap berkonotasi angkuh angkuh jangan keadaan bercakap berkonotasi angkuh
